p_id,piece,marker,count,difficulty,liking,GMS.general,gender,age,language,d,m
OP82,2,4.242,45,4,4,4.44444444444444,female,47.8333333333333,de,-0.0289772727272729,150.707
OP82,2,8.007,45,4,4,4.44444444444444,female,47.8333333333333,de,-0.0289772727272729,150.707
OP82,2,12.058,45,4,4,4.44444444444444,female,47.8333333333333,de,-0.0289772727272729,150.707
OP82,2,7.584,45,4,4,4.44444444444444,female,47.8333333333333,de,-0.0289772727272729,150.707
OP82,2,11.194,45,4,4,4.44444444444444,female,47.8333333333333,de,-0.0289772727272729,150.707
OP82,2,4.756,45,4,4,4.44444444444444,female,47.8333333333333,de,-0.0289772727272729,150.707
OP82,2,4.177,45,4,4,4.44444444444444,female,47.8333333333333,de,-0.0289772727272729,150.707
OP82,2,4.295,45,4,4,4.44444444444444,female,47.8333333333333,de,-0.0289772727272729,150.707
OP82,2,2.632,45,4,4,4.44444444444444,female,47.8333333333333,de,-0.0289772727272729,150.707
OP82,2,9.987,45,4,4,4.44444444444444,female,47.8333333333333,de,-0.0289772727272729,150.707
OP82,2,7.96,45,4,4,4.44444444444444,female,47.8333333333333,de,-0.0289772727272729,150.707
OP82,2,150.707,45,4,4,4.44444444444444,female,47.8333333333333,de,-0.0289772727272729,150.707
OP82,2,4.75,45,4,4,4.44444444444444,female,47.8333333333333,de,-0.0289772727272729,150.707
OP82,2,2.059,45,4,4,4.44444444444444,female,47.8333333333333,de,-0.0289772727272729,150.707
OP82,2,2.677,45,4,4,4.44444444444444,female,47.8333333333333,de,-0.0289772727272729,150.707
OP82,2,12.936,45,4,4,4.44444444444444,female,47.8333333333333,de,-0.0289772727272729,150.707
OP82,2,4.664,45,4,4,4.44444444444444,female,47.8333333333333,de,-0.0289772727272729,150.707
OP82,2,4.163,45,4,4,4.44444444444444,female,47.8333333333333,de,-0.0289772727272729,150.707
OP82,2,11.562,45,4,4,4.44444444444444,female,47.8333333333333,de,-0.0289772727272729,150.707
OP82,2,7.036,45,4,4,4.44444444444444,female,47.8333333333333,de,-0.0289772727272729,150.707
OP82,2,7.796,45,4,4,4.44444444444444,female,47.8333333333333,de,-0.0289772727272729,150.707
OP82,2,3.005,45,4,4,4.44444444444444,female,47.8333333333333,de,-0.0289772727272729,150.707
OP82,2,5.923,45,4,4,4.44444444444444,female,47.8333333333333,de,-0.0289772727272729,150.707
OP09,2,1.822,17,4,5,3.66666666666667,female,27.3333333333333,de,26.3088125,422.763
